Term,Institution Sector,Total Enrollment,Ethnicity,Enrollment
Fall 2005,Community Colleges,208370,Native Hawaiian or Other Pacific Islander,0
Fall 2005,Comprehensive Colleges,87171,Native Hawaiian or Other Pacific Islander,0
Fall 2005,Doctoral Degree Granting Institutions,94198,Native Hawaiian or Other Pacific Islander,0
Fall 2005,Technology Colleges,24426,Native Hawaiian or Other Pacific Islander,0
Fall 2004,Community Colleges,209646,Native Hawaiian or Other Pacific Islander,0
Fall 2004,Comprehensive Colleges,86808,Native Hawaiian or Other Pacific Islander,0
Fall 2004,Doctoral Degree Granting Institutions,92737,Native Hawaiian or Other Pacific Islander,0
Fall 2004,Technology Colleges,24381,Native Hawaiian or Other Pacific Islander,0
Fall 2003,Community Colleges,204487,Native Hawaiian or Other Pacific Islander,0
Fall 2003,Comprehensive Colleges,87543,Native Hawaiian or Other Pacific Islander,0
Fall 2003,Doctoral Degree Granting Institutions,94041,Native Hawaiian or Other Pacific Islander,0
